# Prior;minDCF;actDCF
$\pi_T = 0.047$;0.582018912996112;0.9924812030075187
$\pi_T = 0.066$;0.5267324565643907;0.9473684210526316
$\pi_T = 0.092$;0.44696851075720473;0.849686491067692
$\pi_T = 0.126$;0.3699471449564732;0.7008628682319676
$\pi_T = 0.170$;0.29141052420363833;0.5561765587961821
$\pi_T = 0.225$;0.22860057555023436;0.42338884248535663
$\pi_T = 0.293$;0.18138113191062902;0.33990018454463905
$\pi_T = 0.371$;0.14234808265812868;0.2660729766961302
$\pi_T = 0.456$;0.11314210807658572;0.1897388621703371
$\pi_T = 0.544$;0.0997214399953863;0.15027863192617216
$\pi_T = 0.629$;0.10604893238285296;0.1399317701405489
$\pi_T = 0.707$;0.11505451960176774;0.15382778178850298
$\pi_T = 0.775$;0.12382961801366456;0.13040976944747817
$\pi_T = 0.830$;0.13477482799572615;0.14848041175207133
$\pi_T = 0.874$;0.15035256986990578;0.2339067893887358
$\pi_T = 0.908$;0.17252355081008713;0.4908411836033624
$\pi_T = 0.934$;0.2040783422439236;0.6906995489374839
$\pi_T = 0.953$;0.24078090591626233;0.7690355329949239
