# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.047$;0.582018912996112;0.9924812030075187;0.582018912996112;0.6654616001895851;0.8326289095519864;0.0;0.94384765625;0.018781725888324875
$\pi_T = 0.066$;0.5267324565643907;0.9473684210526316;0.5267324565643907;0.5471992489683805;0.8390119250425895;0.0;0.9488692232055064;0.02030456852791878
$\pi_T = 0.092$;0.44696851075720473;0.849686491067692;0.44696851075720473;0.4621725871883435;0.8552173913043478;0.0015228426395939086;0.9571499750871948;0.024873096446700507
$\pi_T = 0.126$;0.3699471449564732;0.7008628682319676;0.3699471449564732;0.3770201830824821;0.8776785714285714;0.0020304568527918783;0.9646999495713565;0.028934010152284265
$\pi_T = 0.170$;0.29141052420363833;0.5561765587961821;0.29141052420363833;0.31188948681177536;0.9023941068139963;0.005076142131979695;0.9694656488549618;0.03299492385786802
$\pi_T = 0.225$;0.22860057555023436;0.42338884248535663;0.22860057555023436;0.25419849627622065;0.9263657957244655;0.01015228426395939;0.9767321613236815;0.04111675126903553
$\pi_T = 0.293$;0.18138113191062902;0.33990018454463905;0.18138113191062902;0.19577378064592887;0.942495126705653;0.018274111675126905;0.9807592303692148;0.04263959390862944
$\pi_T = 0.371$;0.14234808265812868;0.2660729766961302;0.14234808265812868;0.15111415298137854;0.9552906110283159;0.023857868020304568;0.9848008385744235;0.04619289340101523
$\pi_T = 0.456$;0.11314210807658572;0.1897388621703371;0.11314210807658572;0.1149227392573049;0.9694656488549618;0.03299492385786802;0.9893786510886883;0.05431472081218274
$\pi_T = 0.544$;0.0997214399953863;0.15027863192617216;0.0997214399953863;0.11777890987171552;0.9812695109261186;0.04263959390862944;0.9903329752953813;0.06395939086294417
$\pi_T = 0.629$;0.10604893238285296;0.1399317701405489;0.10604893238285296;0.12708929493594767;0.9893730074388948;0.05482233502538071;0.9924365207995678;0.06751269035532995
$\pi_T = 0.707$;0.11505451960176774;0.15382778178850298;0.11505451960176774;0.1543701773605352;0.9924242424242424;0.06903553299492386;0.9929116684841875;0.07563451776649746
$\pi_T = 0.775$;0.12382961801366456;0.13040976944747817;0.12382961801366456;0.12787169838148832;0.9972268441486412;0.08730964467005076;0.9972345132743363;0.08477157360406092
$\pi_T = 0.830$;0.13477482799572615;0.14848041175207133;0.13477482799572615;0.14704325627856552;0.9982886480319453;0.1116751269035533;0.9977540707467715;0.09796954314720813
$\pi_T = 0.874$;0.15035256986990578;0.2339067893887358;0.15035256986990578;0.1594896257074692;0.9987341772151899;0.19898477157360406;0.9982973893303064;0.10710659898477157
$\pi_T = 0.908$;0.17252355081008713;0.4908411836033624;0.17252355081008713;0.19891948989638153;0.9990503323836657;0.46598984771573604;0.9982638888888888;0.12436548223350254
$\pi_T = 0.934$;0.2040783422439236;0.6906995489374839;0.2040783422439236;0.21896254965161746;0.9985294117647059;0.6553299492385787;0.9988095238095238;0.14822335025380712
$\pi_T = 0.953$;0.24078090591626233;0.7690355329949239;0.24078090591626233;0.3346036509276743;1.0;0.7690355329949239;0.9992912827781715;0.28426395939086296
