# Prior;minDCF;actDCF;calMinDCF;calActDCF;TPR;FPR;calTPR;calFPR
$\pi_T = 0.047$;0.7996588113123347;0.8221084926596672;0.7996588113123347;0.7996588113123347;0.8798379837983799;0.007614213197969543;0.9340126152353226;0.02284263959390863
$\pi_T = 0.066$;0.6632182027084756;0.6632182027084756;0.6632182027084756;0.6632182027084756;0.9340126152353226;0.02284263959390863;0.9340126152353226;0.02284263959390863
$\pi_T = 0.092$;0.5329515246522237;0.5673525038599921;0.5329515246522237;0.5673525038599921;0.9340126152353226;0.02284263959390863;0.9340126152353226;0.02284263959390863
$\pi_T = 0.126$;0.41619936410733;0.41619936410733;0.41619936410733;0.41619936410733;0.971252566735113;0.03959390862944162;0.971252566735113;0.03959390862944162
$\pi_T = 0.170$;0.334167133547564;0.334167133547564;0.334167133547564;0.334167133547564;0.971252566735113;0.03959390862944162;0.971252566735113;0.03959390862944162
$\pi_T = 0.225$;0.2765297689009109;0.2765297689009109;0.2765297689009109;0.2765297689009109;0.971252566735113;0.03959390862944162;0.971252566735113;0.03959390862944162
$\pi_T = 0.293$;0.21956717624596564;0.21956717624596564;0.21956717624596564;0.21956717624596564;0.9876410531972059;0.06700507614213198;0.9876410531972059;0.06700507614213198
$\pi_T = 0.371$;0.17141425567278756;0.17141425567278756;0.17141425567278756;0.17141425567278756;0.9876410531972059;0.06700507614213198;0.9876410531972059;0.06700507614213198
$\pi_T = 0.456$;0.13758112175775267;0.13758112175775267;0.13758112175775267;0.13758112175775267;0.9876410531972059;0.06700507614213198;0.9876410531972059;0.06700507614213198
$\pi_T = 0.544$;0.13577446154222872;0.14794479024919338;0.13577446154222872;0.14794479024919338;0.997081144191477;0.132994923857868;0.997081144191477;0.132994923857868
$\pi_T = 0.629$;0.15427228263666007;0.15427228263666007;0.15427228263666007;0.15427228263666007;0.997081144191477;0.132994923857868;0.997081144191477;0.132994923857868
$\pi_T = 0.707$;0.16327786985557485;0.16327786985557485;0.16327786985557485;0.16327786985557485;0.997081144191477;0.132994923857868;0.997081144191477;0.132994923857868
$\pi_T = 0.775$;0.17609504863529543;0.17612329864193543;0.17609504863529543;0.17609504863529543;0.9987944544906571;0.15888324873096446;0.997081144191477;0.132994923857868
$\pi_T = 0.830$;0.18342010529664313;0.18342010529664313;0.18342010529664313;0.18342010529664313;0.9987944544906571;0.15888324873096446;0.9987944544906571;0.15888324873096446
$\pi_T = 0.874$;0.18883248730964466;0.19380526654609623;0.18883248730964466;0.19380526654609623;0.9987944544906571;0.15888324873096446;0.9987944544906571;0.15888324873096446
$\pi_T = 0.908$;0.18883248730964466;0.18883248730964466;0.18883248730964466;0.20858592050621713;1.0;0.18883248730964466;0.9987944544906571;0.15888324873096446
$\pi_T = 0.934$;0.18883248730964466;0.18883248730964466;0.18883248730964466;0.18883248730964466;1.0;0.18883248730964466;1.0;0.18883248730964466
$\pi_T = 0.953$;0.18883248730964466;0.21979695431472082;0.18883248730964466;0.18883248730964466;1.0;0.21979695431472082;1.0;0.18883248730964466
